../2018-01-22__export__K1024-5_K1024-6_K1024-7_K1024-8_K1024-9_K1025-5_K1025-6_K1025-7_K1025-8_K1025-9_K1026-5_K1026-6_K1026-7_K1026-8_K1026-9_K1067-3_K1067-4_K1067-5_K1067-6_K1067-7_K1068-3_K1068-4_K1068-5_K1068-6_K1068-7_/fastq2/IGH_FR2_output_v1.3.3_automated/index014_014.fastq	Total count	140984
raw count														%total reads
	IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04		IGHJ1_01	IGHJ2_01	IGHJ3_01	IGHJ3_02	IGHJ4_01	IGHJ4_02	IGHJ4_03	IGHJ5_01	IGHJ5_02	IGHJ6_01	IGHJ6_02	IGHJ6_03	IGHJ6_04
IGHV3-30_07	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_07	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_08	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_08	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_09	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_09	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_10	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_10	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_11	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_11	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_12	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_12	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_13	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_13	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_14	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_14	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_15	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_15	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_16	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_16	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_17	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_17	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_18	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_18	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30_19	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30_19	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30-3_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30-3_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-30-3_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-30-3_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33_06	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-33_06	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-35_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-35_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-38_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-38_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-38_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-38_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-43_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-43_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-43_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-43_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-48_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-49_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-53_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64_05	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-64_05	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66_04	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-66_04	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-7_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-72_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-72_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-72_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-72_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-73_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-73_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-73_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-73_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74_03	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-74_03	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-9_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-9_02	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-9_02	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-NL1_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-NL1_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-d_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3-d_01	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3/OR15-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0	IGHV3/OR15-7_01	0	0	0	0	0	0	0	0	0	0	0	0	0
